datetime,open,high,low,close,volume,openinterest
2018-04-03 16:30:00,258.87,259.23,258.04,258.37,93662,33568
2018-04-03 17:00:00,258.37,259.35,256.84,259.17,142116,52321
2018-04-03 18:00:00,259.17,260.08,258.09,258.11,103547,42472
2018-04-03 19:00:00,258.11,258.85,257.85,258.33,58318,25259
2018-04-03 20:00:00,258.32,259.4,258.01,259.07,70854,30368
2018-04-03 21:00:00,259.07,259.71,257.4,259.41,137607,51568
2018-04-03 22:00:00,259.4,261.31,259.17,260.78,282458,110989
2018-04-04 16:30:00,256.73,258.37,256.6,258.34,118997,41976
2018-04-04 17:00:00,258.33,259.6,257.6,259.5,160230,54041
2018-04-04 18:00:00,259.5,260.48,258.78,260.06,109383,42469
2018-04-04 19:00:00,260.05,261.41,259.76,260.88,102967,35320
2018-04-04 20:00:00,260.89,261.02,259.59,260.39,86245,30487
2018-04-04 21:00:00,260.4,262.79,260.31,262.67,125710,46358
2018-04-04 22:00:00,262.65,264.36,262.45,263.83,247580,95257
2018-04-05 16:30:00,265.54,265.69,264.55,265.43,72797,26011
2018-04-05 17:00:00,265.43,265.6,264.73,264.96,87560,32955
2018-04-05 18:00:00,264.97,266.64,264.97,266.59,95129,37247
2018-04-05 19:00:00,266.59,266.64,265.54,266.07,60441,25836
2018-04-05 20:00:00,266.06,266.39,264.32,265.16,86480,33697
2018-04-05 21:00:00,265.17,266.32,264.83,266.25,75608,29221
2018-04-05 22:00:00,266.25,266.6,265.23,265.64,149906,54528
2018-04-06 16:30:00,263.42,265.11,263.11,264.61,100265,34587
2018-04-06 17:00:00,264.62,264.88,262.62,262.89,137038,50112
2018-04-06 18:00:00,262.9,263.26,262.03,263.09,131952,50052
2018-04-06 19:00:00,263.06,263.41,261.7,263.37,95359,35218
2018-04-06 20:00:00,263.35,263.35,260.36,260.4,133121,45295
2018-04-06 21:00:00,260.39,260.65,258.1,258.46,261476,89374
2018-04-06 22:00:00,258.46,260.69,258.0,259.79,399345,138392
